gff_file	kingdom	phylum	class	order	family	genus
/work/data/refseq/bacteria/GCF_002180135.1/GCF_002180135.1_ASM218013v1_genomic.gbff	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia
/work/data/refseq/bacteria/GCF_002209105.2/GCF_002209105.2_ASM220910v2_genomic.gbff	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia
/work/data/refseq/bacteria/GCF_001679985.1/GCF_001679985.1_ASM167998v1_genomic.gbff	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia
/work/data/refseq/bacteria/GCF_001455225.1/GCF_001455225.1_ASM145522v1_genomic.gbff	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Raoultella
/work/data/refseq/bacteria/GCF_002948835.1/GCF_002948835.1_ASM294883v1_genomic.gbff	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella
/work/data/refseq/bacteria/GCF_001900375.1/GCF_001900375.1_ASM190037v1_genomic.gbff	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia
/work/data/refseq/bacteria/GCF_001447115.1/GCF_001447115.1_ASM144711v1_genomic.gbff	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella
/work/data/refseq/bacteria/GCF_001135805.2/GCF_001135805.2_ERL072973_genomic.gbff	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella
/work/data/refseq/bacteria/GCF_001660565.1/GCF_001660565.1_ASM166056v1_genomic.gbff	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia
/work/data/refseq/bacteria/GCF_003030025.1/GCF_003030025.1_ASM303002v1_genomic.gbff	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia
/work/data/refseq/bacteria/GCF_002202175.1/GCF_002202175.1_ASM220217v1_genomic.gbff	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia
/work/data/refseq/bacteria/GCF_900184385.1/GCF_900184385.1_STMU2UK_genomic.gbff	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella
/work/data/refseq/bacteria/GCF_001953015.1/GCF_001953015.1_ASM195301v1_genomic.gbff	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella
/work/data/refseq/bacteria/GCF_000331065.1/GCF_000331065.1_ASM33106v1_genomic.gbff	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	ant endosymbionts
/work/data/refseq/bacteria/GCF_001900575.1/GCF_001900575.1_ASM190057v1_genomic.gbff	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia
/work/data/refseq/bacteria/GCF_001890185.1/GCF_001890185.1_ASM189018v1_genomic.gbff	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella
/work/data/refseq/bacteria/GCF_000410515.1/GCF_000410515.1_ASM41051v1_genomic.gbff	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter
/work/data/refseq/bacteria/GCF_002968735.1/GCF_002968735.1_ASM296873v1_genomic.gbff	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia
/work/data/refseq/bacteria/GCF_001956735.1/GCF_001956735.1_ASM195673v1_genomic.gbff	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella
/work/data/refseq/bacteria/GCF_003073835.1/GCF_003073835.1_ASM307383v1_genomic.gbff	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia
/work/data/refseq/bacteria/GCF_000026565.1/GCF_000026565.1_ASM2656v1_genomic.gbff	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella
/work/data/refseq/bacteria/GCF_002587165.1/GCF_002587165.1_ASM258716v1_genomic.gbff	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella
